assets/images/icons/ui_gym.png;Gym;assets/images/pictures/pic_gym.jpg;Fully equipped gym for workout and physical activities.
assets/images/icons/ui_lounge.png;Lounge Area by the Pool;assets/images/pictures/pic_longue.jpg;Pool with a cozy lounge area, ideal for relaxation and gatherings.
assets/images/icons/ui_parking.png;Parking;assets/images/pictures/pic_parking.jpg;Secure and accessible parking with convenient entry and exit.
assets/images/icons/ui_pool.png;Swimming Pool;assets/images/pictures/pic_longue.jpg;Calm, turquoise waters are protected by a coral reet, offering a serene and safe environment perfect for swimming and relaxation.
assets/images/icons/ui_playground.png;Children Playground;assets/images/pictures/pic_playground.jpg;Safe and fun playground for kids, with diverse play equipment.
assets/images/icons/ui_gym.png;Outdoor exercise equipment;assets/images/pictures/pic_gym.jpg;An open-air fitness area equipped with machines for physical workouts.
assets/images/icons/ui_playground.png;Relax Area;assets/images/pictures/pic_longue.jpg;A cozy outdoor space designed for rest and relaxation.
assets/images/icons/ui_playground.png;Volleyball Spot;assets/images/pictures/pic_longue.jpg;A dedicated court for playing volleyball in the fresh air.
assets/images/icons/ui_walkway.png;Walking Area;assets/images/pictures/pic_playground.jpg;Scenic paths for peaceful walks surrounded by nature.
assets/images/icons/ui_playground.png;Fireplace;assets/images/pictures/pic_longue.jpg;A gathering spot with a fireplace for warm and social evenings.
assets/images/icons/ui_walkway.png;Amphitheater;assets/images/pictures/pic_longue.jpg;An open-air venue with seating, perfect for events and performances.
assets/images/icons/ui_walkway.png;Walking place with resting seats;assets/images/pictures/pic_playground.jpg;A walking path with comfortable benches for resting along the way.
assets/images/icons/ui_reception.png;Bar and Lobby;assets/images/pictures/pic_longue.jpg;A welcoming space combining a stylish bar and a comfortable lobby for relaxation and social gatherings.
